filename,item,importance,original_text
05-13-2026-rtb-meeting-agenda-final.pdf,Confirm Proof of Posting by Clerk Treasurer,low,2. Confirm Proof of Posting by Clerk Treasurer
05-13-2026-rtb-meeting-agenda-final.pdf,"April 21, 2026, Regular Town Board Minutes",low,"a. April 21, 2026, Regular Town Board Minutes"
05-13-2026-rtb-meeting-agenda-final.pdf,Patrolman Report,low,5. Patrolman Report
05-13-2026-rtb-meeting-agenda-final.pdf,Building Inspector Report,low,6. Building Inspector Report
05-13-2026-rtb-meeting-agenda-final.pdf,Discussion on Data Center Moratorium,low,11. Discussion on Data Center Moratorium
05-13-2026-rtb-meeting-agenda-final.pdf,Approval and payment of bills,low,a. Approval and payment of bills
05-13-2026-rtb-meeting-agenda-final.pdf,Direct Deposit Forms,low,c. Direct Deposit Forms
05-13-2026-rtb-meeting-agenda-final.pdf,Chairperson Report,low,16. Chairperson Report
05-13-2026-rtb-meeting-agenda-final.pdf,Plan Commission Meeting scheduled for 05-21-2026.,low,18. Plan Commission Meeting scheduled for 05-21-2026.
05-13-2026-rtb-meeting-agenda-final.pdf,short name,low,verbatim source text
agenda-05-2026.pdf,READING OF THE MINUTES,low,2. READING OF THE MINUTES
agenda-05-2026.pdf,TREASURER S REPORT,low,5. TREASURER S REPORT
agenda-05-2026.pdf,APPROVAL OF BILLS TO BE PAID,low,6. APPROVAL OF BILLS TO BE PAID
agenda-05-2026.pdf,APPOINT A PLAN COMMISSION MEMBER,low,8. APPOINT A PLAN COMMISSION MEMBER
agenda-05-2026.pdf,SET A PLAN COMMISSION MEETING (KNUTZEN),low,9. SET A PLAN COMMISSION MEETING (KNUTZEN)
agenda-05-2026.pdf,POSITIVE PAY WITH BANK FIRST,low,11. POSITIVE PAY WITH BANK FIRST
agenda-05-2026.pdf,ACCOUNTS RECEIVABLE,low,14. ACCOUNTS RECEIVABLE
agenda-05-2026.pdf,CORRESPONDENCE,low,15. CORRESPONDENCE
tb-agenda-5-11-26.pdf,Verify posting/accept agenda,low,3. Verify posting/accept agenda
tb-agenda-5-11-26.pdf,Accept Minutes,low,4. Accept Minutes
tb-agenda-5-11-26.pdf,Citizen Input Discuss/Take Action,low,6. Citizen Input Discuss/Take Action
tb-agenda-5-11-26.pdf,CLA 2025 Audit,low,7. CLA 2025 Audit
tb-agenda-5-11-26.pdf,"Major Land division Plat, Boreal Preserve",low,"10. Major Land division Plat, Boreal Preserve"
tb-agenda-5-11-26.pdf,Fiber Update,low,12. Fiber Update
tb-agenda-5-11-26.pdf,Fireworks,low,13. 2026 Fireworks
tb-agenda-5-11-26.pdf,"Application for Producer Full- Service Retail Sales- McFleshman s Brewing Co., LLC",low,"14. Application for Producer Full- Service Retail Sales- McFleshman s Brewing Co., LLC"
tb-agenda-5-11-26.pdf,Sexton report,low,15. Sexton report
tb-agenda-5-11-26.pdf,"Original application for short term rental- 8770 W Meadow Rd, #002-0307302822A1",low,"17. Original application for short term rental- 8770 W Meadow Rd, #002-0307302822A1"
tb-agenda-5-11-26.pdf,"Original application for short term rental-8259 Peil Ln, #002-0318302844M",low,"18. Original application for short term rental-8259 Peil Ln, #002-0318302844M"
tb-agenda-5-11-26.pdf,Toft House update,low,21. Toft House update
tb-agenda-5-11-26.pdf,Set interview date for potential new hire,low,22. Set interview date for potential new hire
tb-agenda-5-11-26.pdf,Payment of Bills,low,23. Payment of Bills
tb-agenda-5-11-26.pdf,Sue Tishler Consent Agenda for 5.11.26 Town Board Meeting,low,Sue Tishler Consent Agenda for 5.11.26 Town Board Meeting
tb-agenda-5-11-26.pdf,short name,low,verbatim text
