filename,item,importance,original_text
Algoma_Town_Board_2026-05-13.pdf,"Wednesday May 13th, 2026, at 7:00pm | Location: Town Hall 15 N Oakwood Rd. AGENDA The Firefighters may discuss and act on the following",medium,"Wednesday May 13th, 2026, at 7:00pm | Location: Town Hall 15 N Oakwood Rd. AGENDA The Firefighters may discuss and act on the following:"
Algoma_Town_Board_2026-05-13.pdf,Truck/Equipment Committee.,medium,9. Truck/Equipment Committee.
Algoma_Town_Board_2026-05-13.pdf,Safety Committee Report.,medium,10. Safety Committee Report.
Algoma_Town_Board_2026-05-13.pdf,Equipment Purchases/Fundraising Account,medium,a. Equipment Purchases/Fundraising Account
Algoma_Town_Board_2026-05-13.pdf,Hwy 21 Project/Road Construction,medium,c. Hwy 21 Project/Road Construction
Amberg_Town_Board_2026-05-12.docx,"Community Center N15035 Grant St Tuesday, May 12, 2026 6:00 pm",medium,"Community Center N15035 Grant St Tuesday, May 12, 2026 6:00 pm"
Amberg_Town_Board_2026-05-12.docx,Road Department Report,medium,8. Road Department Report
Amberg_Town_Board_2026-05-12.docx,Road work What s next?,medium,b) Road work What s next?
Amberg_Town_Board_2026-05-12.docx,"Parks Committee Report (Tilly Wollenberg, chairperson)",medium,"9. Parks Committee Report (Tilly Wollenberg, chairperson)"
Amberg_Town_Board_2026-05-12.docx,Approve liquor licenses,medium,11. Approve liquor licenses
Amberg_Town_Board_2026-05-12.docx,Approve operator license for Vernon Schultz,medium,12. Approve operator license for Vernon Schultz
Brillion_Town_Board_2026-05-12.pdf,"MUNICIPAL BUILDING, FOREST JUNCTION",medium,"MUNICIPAL BUILDING, FOREST JUNCTION"
Brillion_Town_Board_2026-05-12.pdf,Discuss/Approve County Bridge Aid Application,medium,13. Discuss/Approve County Bridge Aid Application
Brillion_Town_Board_2026-05-12.pdf,Discuss/Approve radio tower agreement with the Town of Chilton and other towns,medium,15. Discuss/Approve radio tower agreement with the Town of Chilton and other towns
Brillion_Town_Board_2026-05-12.pdf,Road Supervisor s Report,medium,19. Road Supervisor s Report
Brillion_Town_Board_2026-05-14.pdf,"TOWN OF BRILLION MUNICIPAL BUILDING N8892 RANDOLPH ST. FOREST JUNCTION, WISCONSIN",medium,"TOWN OF BRILLION MUNICIPAL BUILDING N8892 RANDOLPH ST. FOREST JUNCTION, WISCONSIN"
Brussels_Town_Board_2026-05-13.pdf,"Junction Road, Brussels, WI 54204",medium,"1366 Junction Road, Brussels, WI 54204"
Brussels_Town_Board_2026-05-13.pdf,Liquor Licenses,medium,10. Liquor Licenses
Brussels_Town_Board_2026-05-13.pdf,"Dean Vandertie, Belgian Delight LLC Class B, Beer and Liquor license",medium,"a. Dean Vandertie, Belgian Delight LLC Class B, Beer and Liquor license"
Brussels_Town_Board_2026-05-13.pdf,Permits issued for April,medium,a. Permits issued for April
