keyword,reason
call to order,ceremonial procedure
roll call,ceremonial procedure
pledge of allegiance,ceremonial procedure
approval of agenda,ceremonial procedure
approve agenda,ceremonial procedure
approve minutes,routine procedure
approval of minutes,routine procedure
public comment,routine procedure
pay bills,routine procedure
accounts payable,routine procedure
adjournment,ceremonial procedure
affirm open meeting notice,notice boilerplate
open meeting notice,notice boilerplate
notice was prepared,notice boilerplate
posted on,notice boilerplate
posted at,notice boilerplate
americans with disabilities act,accessibility boilerplate
accommodations,accessibility boilerplate
contact the clerk,contact boilerplate
