Gov body,Time of day,Frequency,Livestream,Link to board agenda site,Link to board home page,Notes,County,parseable,agenda-location,agenda-format
Allouez Village Board,6:30 p.m.,1st and 3rd Tuesdays,,https://www.villageofallouezwi.gov/archives/village-board/,https://www.villageofallouezwi.gov/directory/village-of-allouez-board/,They post the meeting audio after the fact,Brown,,,html
Ashwaubenon School Board,6:30 p.m.,2nd Wednesday,,https://www.ashwaubenon.k12.wi.us/about-our-district/school-board/meetings-agendas-and-minutes,https://www.ashwaubenon.k12.wi.us/about-our-district/school-board,,Brown,,,
Ashwaubenon Village Board,5:30 p.m.,4th Tuesday,Yes - on YouTube,https://ashwaubenon.gov/government/departments/clerk/agendas-minutes/,https://ashwaubenon.gov/government/departments/administration/boards-commissions-committees/village-board/,,Brown,,,
Bellevue Village Board,6:30 p.m.,2nd and 4th Wednesdays,,https://www.villageofbellevuewi.gov/government/boards_and_commissions/village_board,https://www.villageofbellevuewi.gov/government/village_board_contacts,,Brown,,,
Brown Co. Board,7 p.m.,3rd Wednesday,,https://www.browncountywi.gov/government/minutes_and_agendas/,https://www.browncountywi.gov/government/county_board/,,Brown,,,
De Pere Common Council,7:30 p.m.,1st and 3rd Tuesdays,Yes,https://deperewi.portal.civicclerk.com/,https://www.deperewi.gov/department/index.php?structureid=3,The livestream their meetings,Brown,,,
De Pere School Board,6 p.m.,1st and 3rd Monday,,https://www.deperek12.org/district/board-of-education/meetings-minutes-agendas,https://www.deperek12.org/district/board-of-education,,Brown,,,
Denmark School Board,6 p.m.,2nd Monday,,https://go.boarddocs.com/wi/den/Board.nsf/Public,https://www.denmark.k12.wi.us/page/board-of-education,,Brown,,,
Denmark Village Board,4:30 p.m.,2nd Monday,,https://www.denmark-wi.org/meetings/,https://www.denmark-wi.org/village-board/,,Brown,y,TownWeb,pdf
Eaton Town Board,6 p.m.,1st Monday,,https://www.eatonbrowncountywi.gov/agendasandminutes,https://www.eatonbrowncountywi.gov/boardandstaff,,Brown,,,
Glenmore Town Board,7:30 p.m.,1st Monday,,https://www.glenmorewisconsin.gov/townmeetings,https://www.glenmorewisconsin.gov/townofficials,They don't seem to post agendas or meeting minutes online regularly,Brown,,,
Green Bay Area Public Schools BoE,6 p.m.,2nd and 4th Mondays,Yes - on YouTube,https://go.boarddocs.com/wi/gbapsd/Board.nsf/Public,https://www.gbaps.org/aboutgbaps/board-of-education,"Working session tends to be 2nd Monday of the month, Regular board meeting on the 4th Monday",Brown,,,
Green Bay City Council,6 p.m.,1st and 3rd Tuesdays,Yes - on YouTube,https://www.greenbaywi.gov/129/Meetings-Agendas-Minutes,https://www.greenbaywi.gov/617/Common-Council,,Brown,,,
Green Bay School Board,6 p.m.,2nd and 4th Mondays,Yes - on YouTube,https://go.boarddocs.com/wi/gbapsd/Board.nsf/Public,https://www.gbaps.org/aboutgbaps/board-of-education,,Brown,,,
Green Bay Town Board,7 p.m.,2nd Tuesday,,https://www.townofgreenbay.com/2026-town-board-documents/,https://www.townofgreenbay.com/officials/elected-officials/,,Brown,,,
Greenleaf Village Board,5:30 p.m.,2nd Wednesday,,https://villageofgreenleaf.org/agendas-minutes/,https://villageofgreenleaf.org/departments/village-board/village-board-staff/,,Brown,,,
Hobart Village Board,6 p.m.,1st and 3rd Tuesdays,,https://www.hobartwi.gov/village-board,https://www.hobartwi.gov/village-board,,Brown,,,
Holland Town Board,6:30 p.m.,1st Wednesday,,https://hollandbrowncountywi.gov/meetings/,https://hollandbrowncountywi.gov/town-board-officers/,,Brown,,,
Howard Village Board,6:30 p.m.,2nd and 4th Mondays,Virtual option available via Zoom,https://www.villageofhoward.com/AgendaCenter,https://www.villageofhoward.com/208/Village-President-Board-of-Trustees,"They livestream on Zoom, not sure if they post the recording anywhere. ",Brown,,,
Howard-Suamico School Board,6 p.m.,2nd and 4th Mondays,,https://drive.google.com/drive/folders/18VYFYNouEmVmfJ4VGiZcpyB1I7nop-Sv,https://www.hssdschools.org/district/board-of-education,,Brown,,,
Humboldt Town Board,7 p.m.,1st Monday,,https://humboldt-wi.gov/agendas-minutes/,https://humboldt-wi.gov/town-board-staff/,,Brown,y,TownWeb,pdf
Lawrence Town Board,6 p.m.,2nd and 4th Monday,,https://www.lawrencewi.gov/egov/apps/document/center.egov?view=browse&eGov_searchTitle=&eGov_searchType=27&eGov_searchDepartment=23&eGov_searchCategory=&eGov_searchTopic=&eGov_searchYear=&eGov_searchSubmit=Search,https://www.lawrencewi.gov/department/division.php?structureid=25,,Brown,,,
Ledgeview Town Board,6 p.m.,1st and 3rd Monday,,https://www.ledgeview.wi.gov/meetings,https://www.ledgeview.wi.gov/town-board,,Brown,,,
Morrison Town Board,7:30 p.m.,2nd Tuesday,,https://townofmorrison.org/agendas-minutes/,https://townofmorrison.org/town-board/,,Brown,y,TownWeb,pdf
New Denmark Town Board,7 p.m.,2nd Monday,,https://townofnewdenmarkwi.gov/agendas-minutes/,https://townofnewdenmarkwi.gov/town-board/,,Brown,y,TownWeb,pdf
Pittsfield Town Board,6 p.m.,2nd Tuesday,,https://townofpittsfield.org/agendas/,https://townofpittsfield.org/town-contacts/,,Brown,,,
Pulaski School Board,6 p.m.,1st and 3rd Wednesdays,Yes - on YouTube,https://www.pulaskischools.org/boe/meetings-agendas,https://www.pulaskischools.org/boe,,Brown,,,
Pulaski Village Board,6 p.m.,1st Monday,,https://www.villageofpulaski.org/government/village_board/agendas_minutes.php#outer-241,https://www.villageofpulaski.org/government/village_board/index.php,They seem to have special meetings every month. ,Brown,,,
Rockland Town Board,7 p.m.,1st and 3rd Monday,,https://www.rocklandbrownwi.gov/agendas,https://www.rocklandbrownwi.gov/board,,Brown,,,
